uid HMR VR rep update efficiency
HMR0.1_10 HMR0.1 VR0.1 10 0 1
HMR0.1_10 HMR0.1 VR0.1 10 100 0.999694
HMR0.1_10 HMR0.1 VR0.1 10 200 0.999391
HMR0.1_10 HMR0.1 VR0.1 10 300 0.999064
HMR0.1_10 HMR0.1 VR0.1 10 400 0.998877
HMR0.1_10 HMR0.1 VR0.1 10 500 0.998692
HMR0.1_10 HMR0.1 VR0.1 10 600 0.998481
HMR0.1_10 HMR0.1 VR0.1 10 700 0.99837
HMR0.1_10 HMR0.1 VR0.1 10 800 0.998107
HMR0.1_10 HMR0.1 VR0.1 10 900 0.997987
HMR0.1_10 HMR0.1 VR0.1 10 1000 0.997717
HMR0.1_10 HMR0.1 VR0.1 10 1100 0.997569
HMR0.1_10 HMR0.1 VR0.1 10 1200 0.997509
HMR0.1_10 HMR0.1 VR0.1 10 1300 0.997326
HMR0.1_10 HMR0.1 VR0.1 10 1400 0.997086
HMR0.1_10 HMR0.1 VR0.1 10 1500 0.996765
HMR0.1_10 HMR0.1 VR0.1 10 1600 0.99687
HMR0.1_10 HMR0.1 VR0.1 10 1700 0.996817
HMR0.1_10 HMR0.1 VR0.1 10 1800 0.9966
HMR0.1_10 HMR0.1 VR0.1 10 1900 0.996527
HMR0.1_10 HMR0.1 VR0.1 10 2000 0.996598
HMR0.1_10 HMR0.1 VR0.1 10 2100 0.996335
HMR0.1_10 HMR0.1 VR0.1 10 2200 0.996207
HMR0.1_10 HMR0.1 VR0.1 10 2300 0.996157
HMR0.1_10 HMR0.1 VR0.1 10 2400 0.995974
HMR0.1_10 HMR0.1 VR0.1 10 2500 0.995998
HMR0.1_10 HMR0.1 VR0.1 10 2600 0.995678
HMR0.1_10 HMR0.1 VR0.1 10 2700 0.99544
HMR0.1_10 HMR0.1 VR0.1 10 2800 0.995458
HMR0.1_10 HMR0.1 VR0.1 10 2900 0.995419
HMR0.1_10 HMR0.1 VR0.1 10 3000 0.995386
HMR0.1_10 HMR0.1 VR0.1 10 3100 0.995542
HMR0.1_10 HMR0.1 VR0.1 10 3200 0.99532
HMR0.1_10 HMR0.1 VR0.1 10 3300 0.994982
HMR0.1_10 HMR0.1 VR0.1 10 3400 0.995033
HMR0.1_10 HMR0.1 VR0.1 10 3500 0.995091
HMR0.1_10 HMR0.1 VR0.1 10 3600 0.994948
HMR0.1_10 HMR0.1 VR0.1 10 3700 0.994815
