uid HMR VR rep update donate partner
HMR0.1_10 HMR0.1 VR0.1 10 0 -0.00405086 Host
HMR0.1_10 HMR0.1 VR0.1 10 100 -0.0188112 Host
HMR0.1_10 HMR0.1 VR0.1 10 200 -0.190704 Host
HMR0.1_10 HMR0.1 VR0.1 10 300 -0.278477 Host
HMR0.1_10 HMR0.1 VR0.1 10 400 -0.322166 Host
HMR0.1_10 HMR0.1 VR0.1 10 500 -0.345181 Host
HMR0.1_10 HMR0.1 VR0.1 10 600 -0.357164 Host
HMR0.1_10 HMR0.1 VR0.1 10 700 -0.369079 Host
HMR0.1_10 HMR0.1 VR0.1 10 800 -0.377325 Host
HMR0.1_10 HMR0.1 VR0.1 10 900 -0.381143 Host
HMR0.1_10 HMR0.1 VR0.1 10 1000 -0.387483 Host
HMR0.1_10 HMR0.1 VR0.1 10 1100 -0.38971 Host
HMR0.1_10 HMR0.1 VR0.1 10 1200 -0.391699 Host
HMR0.1_10 HMR0.1 VR0.1 10 1300 -0.395204 Host
HMR0.1_10 HMR0.1 VR0.1 10 1400 -0.396856 Host
HMR0.1_10 HMR0.1 VR0.1 10 1500 -0.399771 Host
HMR0.1_10 HMR0.1 VR0.1 10 1600 -0.404022 Host
HMR0.1_10 HMR0.1 VR0.1 10 1700 -0.405163 Host
HMR0.1_10 HMR0.1 VR0.1 10 1800 -0.406482 Host
HMR0.1_10 HMR0.1 VR0.1 10 1900 -0.407815 Host
HMR0.1_10 HMR0.1 VR0.1 10 2000 -0.409457 Host
HMR0.1_10 HMR0.1 VR0.1 10 2100 -0.409472 Host
HMR0.1_10 HMR0.1 VR0.1 10 2200 -0.410794 Host
HMR0.1_10 HMR0.1 VR0.1 10 2300 -0.411161 Host
HMR0.1_10 HMR0.1 VR0.1 10 2400 -0.411485 Host
HMR0.1_10 HMR0.1 VR0.1 10 2500 -0.410943 Host
HMR0.1_10 HMR0.1 VR0.1 10 2600 -0.411221 Host
HMR0.1_10 HMR0.1 VR0.1 10 2700 -0.410763 Host
HMR0.1_10 HMR0.1 VR0.1 10 2800 -0.411579 Host
HMR0.1_10 HMR0.1 VR0.1 10 2900 -0.412866 Host
HMR0.1_10 HMR0.1 VR0.1 10 3000 -0.414114 Host
HMR0.1_10 HMR0.1 VR0.1 10 3100 -0.4136 Host
HMR0.1_10 HMR0.1 VR0.1 10 3200 -0.415293 Host
HMR0.1_10 HMR0.1 VR0.1 10 3300 -0.414836 Host
HMR0.1_10 HMR0.1 VR0.1 10 3400 -0.414081 Host
HMR0.1_10 HMR0.1 VR0.1 10 3500 -0.41378 Host
HMR0.1_10 HMR0.1 VR0.1 10 3600 -0.414621 Host
HMR0.1_10 HMR0.1 VR0.1 10 3700 -0.415569 Host
HMR0.1_10 HMR0.1 VR0.1 10 3800 -0.416821 Host
HMR0.1_10 HMR0.1 VR0.1 10 3900 -0.418697 Host
HMR0.1_10 HMR0.1 VR0.1 10 4000 -0.419116 Host
