uid treatment rep update donate partner
HMR0.1_10 HMR0.1 10 0 -0.00405086 Host
HMR0.1_10 HMR0.1 10 100 0.186287 Host
HMR0.1_10 HMR0.1 10 200 0.307711 Host
HMR0.1_10 HMR0.1 10 300 0.494754 Host
HMR0.1_10 HMR0.1 10 400 0.703697 Host
HMR0.1_10 HMR0.1 10 500 0.815579 Host
HMR0.1_10 HMR0.1 10 600 0.845675 Host
HMR0.1_10 HMR0.1 10 700 0.855227 Host
HMR0.1_10 HMR0.1 10 800 0.864124 Host
HMR0.1_10 HMR0.1 10 900 0.873461 Host
HMR0.1_10 HMR0.1 10 1000 0.893388 Host
HMR0.1_10 HMR0.1 10 1100 0.899139 Host
HMR0.1_10 HMR0.1 10 1200 0.907458 Host
HMR0.1_10 HMR0.1 10 1300 0.91311 Host
HMR0.1_10 HMR0.1 10 1400 0.918677 Host
HMR0.1_10 HMR0.1 10 1500 0.920135 Host
HMR0.1_10 HMR0.1 10 1600 0.923265 Host
HMR0.1_10 HMR0.1 10 1700 0.928848 Host
HMR0.1_10 HMR0.1 10 1800 0.933021 Host
HMR0.1_10 HMR0.1 10 1900 0.936785 Host
HMR0.1_10 HMR0.1 10 2000 0.933741 Host
HMR0.1_10 HMR0.1 10 2100 0.939823 Host
HMR0.1_10 HMR0.1 10 2200 0.9415 Host
HMR0.1_10 HMR0.1 10 2300 0.941499 Host
HMR0.1_10 HMR0.1 10 2400 0.939862 Host
HMR0.1_10 HMR0.1 10 2500 0.940464 Host
HMR0.1_10 HMR0.1 10 2600 0.9391 Host
HMR0.1_10 HMR0.1 10 2700 0.941442 Host
HMR0.1_10 HMR0.1 10 2800 0.941914 Host
HMR0.1_10 HMR0.1 10 2900 0.94251 Host
HMR0.1_10 HMR0.1 10 3000 0.942024 Host
HMR0.1_10 HMR0.1 10 3100 0.943887 Host
HMR0.1_10 HMR0.1 10 3200 0.945759 Host
HMR0.1_10 HMR0.1 10 3300 0.945792 Host
HMR0.1_10 HMR0.1 10 3400 0.944793 Host
HMR0.1_10 HMR0.1 10 3500 0.945087 Host
HMR0.1_10 HMR0.1 10 3600 0.944346 Host
HMR0.1_10 HMR0.1 10 3700 0.94281 Host
HMR0.1_10 HMR0.1 10 3800 0.942332 Host
HMR0.1_10 HMR0.1 10 3900 0.944267 Host
HMR0.1_10 HMR0.1 10 4000 0.945733 Host
HMR0.1_10 HMR0.1 10 4100 0.945772 Host
HMR0.1_10 HMR0.1 10 4200 0.946898 Host
HMR0.1_10 HMR0.1 10 4300 0.948101 Host
HMR0.1_10 HMR0.1 10 4400 0.950016 Host
HMR0.1_10 HMR0.1 10 4500 0.95038 Host
HMR0.1_10 HMR0.1 10 4600 0.950811 Host
HMR0.1_10 HMR0.1 10 4700 0.951158 Host
HMR0.1_10 HMR0.1 10 4800 0.95172 Host
HMR0.1_10 HMR0.1 10 4900 0.951101 Host
HMR0.1_10 HMR0.1 10 5000 0.95232 Host
HMR0.1_10 HMR0.1 10 5100 0.95094 Host
HMR0.1_10 HMR0.1 10 5200 0.951364 Host
HMR0.1_10 HMR0.1 10 5300 0.952089 Host
HMR0.1_10 HMR0.1 10 5400 0.953991 Host
HMR0.1_10 HMR0.1 10 5500 0.955545 Host
HMR0.1_10 HMR0.1 10 5600 0.956418 Host
HMR0.1_10 HMR0.1 10 5700 0.956591 Host
HMR0.1_10 HMR0.1 10 5800 0.956522 Host
HMR0.1_10 HMR0.1 10 5900 0.957431 Host
HMR0.1_10 HMR0.1 10 6000 0.959812 Host
HMR0.1_10 HMR0.1 10 6100 0.960992 Host
HMR0.1_10 HMR0.1 10 6200 0.961334 Host
HMR0.1_10 HMR0.1 10 6300 0.960704 Host
HMR0.1_10 HMR0.1 10 6400 0.961156 Host
HMR0.1_10 HMR0.1 10 6500 0.961215 Host
HMR0.1_10 HMR0.1 10 6600 0.960456 Host
HMR0.1_10 HMR0.1 10 6700 0.960533 Host
HMR0.1_10 HMR0.1 10 6800 0.962832 Host
HMR0.1_10 HMR0.1 10 6900 0.964586 Host
HMR0.1_10 HMR0.1 10 7000 0.964887 Host
HMR0.1_10 HMR0.1 10 7100 0.967096 Host
HMR0.1_10 HMR0.1 10 7200 0.967496 Host
HMR0.1_10 HMR0.1 10 7300 0.96973 Host
HMR0.1_10 HMR0.1 10 7400 0.969716 Host
HMR0.1_10 HMR0.1 10 7500 0.970729 Host
HMR0.1_10 HMR0.1 10 7600 0.972303 Host
HMR0.1_10 HMR0.1 10 7700 0.972968 Host
HMR0.1_10 HMR0.1 10 7800 0.972107 Host
HMR0.1_10 HMR0.1 10 7900 0.972313 Host
HMR0.1_10 HMR0.1 10 8000 0.972448 Host
HMR0.1_10 HMR0.1 10 8100 0.972249 Host
HMR0.1_10 HMR0.1 10 8200 0.972791 Host
HMR0.1_10 HMR0.1 10 8300 0.973626 Host
HMR0.1_10 HMR0.1 10 8400 0.973439 Host
HMR0.1_10 HMR0.1 10 8500 0.973128 Host
HMR0.1_10 HMR0.1 10 8600 0.972665 Host
HMR0.1_10 HMR0.1 10 8700 0.973347 Host
HMR0.1_10 HMR0.1 10 8800 0.972943 Host
HMR0.1_10 HMR0.1 10 8900 0.972301 Host
HMR0.1_10 HMR0.1 10 9000 0.972699 Host
HMR0.1_10 HMR0.1 10 9100 0.972622 Host
HMR0.1_10 HMR0.1 10 9200 0.971592 Host
HMR0.1_10 HMR0.1 10 9300 0.972401 Host
HMR0.1_10 HMR0.1 10 9400 0.973963 Host
HMR0.1_10 HMR0.1 10 9500 0.974953 Host
HMR0.1_10 HMR0.1 10 9600 0.974342 Host
HMR0.1_10 HMR0.1 10 9700 0.973715 Host
HMR0.1_10 HMR0.1 10 9800 0.973662 Host
HMR0.1_10 HMR0.1 10 9900 0.974019 Host
HMR0.1_10 HMR0.1 10 10000 0.974361 Host
HMR0.1_10 HMR0.1 10 0 -0.00556074 Sym
HMR0.1_10 HMR0.1 10 100 -0.282664 Sym
HMR0.1_10 HMR0.1 10 200 -0.312943 Sym
HMR0.1_10 HMR0.1 10 300 -0.252162 Sym
HMR0.1_10 HMR0.1 10 400 -0.278405 Sym
HMR0.1_10 HMR0.1 10 500 -0.316288 Sym
HMR0.1_10 HMR0.1 10 600 -0.339686 Sym
HMR0.1_10 HMR0.1 10 700 -0.337255 Sym
HMR0.1_10 HMR0.1 10 800 -0.341929 Sym
HMR0.1_10 HMR0.1 10 900 -0.346959 Sym
HMR0.1_10 HMR0.1 10 1000 -0.343628 Sym
HMR0.1_10 HMR0.1 10 1100 -0.369839 Sym
HMR0.1_10 HMR0.1 10 1200 -0.351127 Sym
HMR0.1_10 HMR0.1 10 1300 -0.349958 Sym
HMR0.1_10 HMR0.1 10 1400 -0.352003 Sym
HMR0.1_10 HMR0.1 10 1500 -0.345887 Sym
HMR0.1_10 HMR0.1 10 1600 -0.348344 Sym
HMR0.1_10 HMR0.1 10 1700 -0.340273 Sym
HMR0.1_10 HMR0.1 10 1800 -0.357507 Sym
HMR0.1_10 HMR0.1 10 1900 -0.334479 Sym
HMR0.1_10 HMR0.1 10 2000 -0.362174 Sym
HMR0.1_10 HMR0.1 10 2100 -0.347067 Sym
HMR0.1_10 HMR0.1 10 2200 -0.352536 Sym
HMR0.1_10 HMR0.1 10 2300 -0.353407 Sym
HMR0.1_10 HMR0.1 10 2400 -0.347176 Sym
HMR0.1_10 HMR0.1 10 2500 -0.342571 Sym
HMR0.1_10 HMR0.1 10 2600 -0.358527 Sym
HMR0.1_10 HMR0.1 10 2700 -0.339189 Sym
HMR0.1_10 HMR0.1 10 2800 -0.343288 Sym
HMR0.1_10 HMR0.1 10 2900 -0.328031 Sym
HMR0.1_10 HMR0.1 10 3000 -0.343624 Sym
HMR0.1_10 HMR0.1 10 3100 -0.32781 Sym
HMR0.1_10 HMR0.1 10 3200 -0.343835 Sym
HMR0.1_10 HMR0.1 10 3300 -0.36138 Sym
HMR0.1_10 HMR0.1 10 3400 -0.341092 Sym
HMR0.1_10 HMR0.1 10 3500 -0.350637 Sym
HMR0.1_10 HMR0.1 10 3600 -0.340993 Sym
HMR0.1_10 HMR0.1 10 3700 -0.346628 Sym
HMR0.1_10 HMR0.1 10 3800 -0.336496 Sym
HMR0.1_10 HMR0.1 10 3900 -0.362183 Sym
HMR0.1_10 HMR0.1 10 4000 -0.342698 Sym
HMR0.1_10 HMR0.1 10 4100 -0.349878 Sym
HMR0.1_10 HMR0.1 10 4200 -0.343469 Sym
HMR0.1_10 HMR0.1 10 4300 -0.328433 Sym
HMR0.1_10 HMR0.1 10 4400 -0.338137 Sym
HMR0.1_10 HMR0.1 10 4500 -0.351554 Sym
HMR0.1_10 HMR0.1 10 4600 -0.34317 Sym
HMR0.1_10 HMR0.1 10 4700 -0.339547 Sym
HMR0.1_10 HMR0.1 10 4800 -0.348696 Sym
HMR0.1_10 HMR0.1 10 4900 -0.358221 Sym
HMR0.1_10 HMR0.1 10 5000 -0.370272 Sym
HMR0.1_10 HMR0.1 10 5100 -0.328441 Sym
HMR0.1_10 HMR0.1 10 5200 -0.327245 Sym
HMR0.1_10 HMR0.1 10 5300 -0.347207 Sym
HMR0.1_10 HMR0.1 10 5400 -0.344938 Sym
HMR0.1_10 HMR0.1 10 5500 -0.344536 Sym
HMR0.1_10 HMR0.1 10 5600 -0.324338 Sym
HMR0.1_10 HMR0.1 10 5700 -0.344798 Sym
HMR0.1_10 HMR0.1 10 5800 -0.342054 Sym
HMR0.1_10 HMR0.1 10 5900 -0.346631 Sym
HMR0.1_10 HMR0.1 10 6000 -0.319271 Sym
HMR0.1_10 HMR0.1 10 6100 -0.342637 Sym
HMR0.1_10 HMR0.1 10 6200 -0.351709 Sym
HMR0.1_10 HMR0.1 10 6300 -0.329685 Sym
HMR0.1_10 HMR0.1 10 6400 -0.322257 Sym
HMR0.1_10 HMR0.1 10 6500 -0.335591 Sym
HMR0.1_10 HMR0.1 10 6600 -0.325498 Sym
HMR0.1_10 HMR0.1 10 6700 -0.33187 Sym
HMR0.1_10 HMR0.1 10 6800 -0.333066 Sym
HMR0.1_10 HMR0.1 10 6900 -0.33428 Sym
HMR0.1_10 HMR0.1 10 7000 -0.328184 Sym
HMR0.1_10 HMR0.1 10 7100 -0.345509 Sym
HMR0.1_10 HMR0.1 10 7200 -0.342588 Sym
HMR0.1_10 HMR0.1 10 7300 -0.323078 Sym
HMR0.1_10 HMR0.1 10 7400 -0.332559 Sym
HMR0.1_10 HMR0.1 10 7500 -0.333559 Sym
HMR0.1_10 HMR0.1 10 7600 -0.332659 Sym
HMR0.1_10 HMR0.1 10 7700 -0.335006 Sym
HMR0.1_10 HMR0.1 10 7800 -0.341571 Sym
HMR0.1_10 HMR0.1 10 7900 -0.33378 Sym
HMR0.1_10 HMR0.1 10 8000 -0.339202 Sym
HMR0.1_10 HMR0.1 10 8100 -0.315581 Sym
HMR0.1_10 HMR0.1 10 8200 -0.336028 Sym
HMR0.1_10 HMR0.1 10 8300 -0.336214 Sym
HMR0.1_10 HMR0.1 10 8400 -0.316423 Sym
HMR0.1_10 HMR0.1 10 8500 -0.316514 Sym
HMR0.1_10 HMR0.1 10 8600 -0.343274 Sym
HMR0.1_10 HMR0.1 10 8700 -0.338453 Sym
HMR0.1_10 HMR0.1 10 8800 -0.336668 Sym
HMR0.1_10 HMR0.1 10 8900 -0.32134 Sym
HMR0.1_10 HMR0.1 10 9000 -0.334563 Sym
HMR0.1_10 HMR0.1 10 9100 -0.346018 Sym
HMR0.1_10 HMR0.1 10 9200 -0.320724 Sym
HMR0.1_10 HMR0.1 10 9300 -0.322129 Sym
HMR0.1_10 HMR0.1 10 9400 -0.328043 Sym
HMR0.1_10 HMR0.1 10 9500 -0.336267 Sym
HMR0.1_10 HMR0.1 10 9600 -0.345166 Sym
HMR0.1_10 HMR0.1 10 9700 -0.328482 Sym
HMR0.1_10 HMR0.1 10 9800 -0.327663 Sym
HMR0.1_10 HMR0.1 10 9900 -0.321487 Sym
HMR0.1_10 HMR0.1 10 10000 -0.334473 Sym
