uid HMR VR rep update efficiency
HMR0.1_10 HMR0.1 VR0.1 10 0 1
HMR0.1_10 HMR0.1 VR0.1 10 100 0.999768
HMR0.1_10 HMR0.1 VR0.1 10 200 0.999568
HMR0.1_10 HMR0.1 VR0.1 10 300 0.999428
HMR0.1_10 HMR0.1 VR0.1 10 400 0.999323
HMR0.1_10 HMR0.1 VR0.1 10 500 0.99921
HMR0.1_10 HMR0.1 VR0.1 10 600 0.999156
HMR0.1_10 HMR0.1 VR0.1 10 700 0.999087
HMR0.1_10 HMR0.1 VR0.1 10 800 0.999048
HMR0.1_10 HMR0.1 VR0.1 10 900 0.998912
HMR0.1_10 HMR0.1 VR0.1 10 1000 0.998844
HMR0.1_10 HMR0.1 VR0.1 10 1100 0.998728
HMR0.1_10 HMR0.1 VR0.1 10 1200 0.998691
HMR0.1_10 HMR0.1 VR0.1 10 1300 0.998579
HMR0.1_10 HMR0.1 VR0.1 10 1400 0.998444
HMR0.1_10 HMR0.1 VR0.1 10 1500 0.998363
HMR0.1_10 HMR0.1 VR0.1 10 1600 0.998303
HMR0.1_10 HMR0.1 VR0.1 10 1700 0.998248
HMR0.1_10 HMR0.1 VR0.1 10 1800 0.998199
HMR0.1_10 HMR0.1 VR0.1 10 1900 0.998129
HMR0.1_10 HMR0.1 VR0.1 10 2000 0.998051
HMR0.1_10 HMR0.1 VR0.1 10 2100 0.997984
HMR0.1_10 HMR0.1 VR0.1 10 2200 0.997954
HMR0.1_10 HMR0.1 VR0.1 10 2300 0.997921
HMR0.1_10 HMR0.1 VR0.1 10 2400 0.997882
HMR0.1_10 HMR0.1 VR0.1 10 2500 0.997784
HMR0.1_10 HMR0.1 VR0.1 10 2600 0.997677
HMR0.1_10 HMR0.1 VR0.1 10 2700 0.997567
HMR0.1_10 HMR0.1 VR0.1 10 2800 0.997516
HMR0.1_10 HMR0.1 VR0.1 10 2900 0.997493
HMR0.1_10 HMR0.1 VR0.1 10 3000 0.997407
HMR0.1_10 HMR0.1 VR0.1 10 3100 0.997389
HMR0.1_10 HMR0.1 VR0.1 10 3200 0.997423
HMR0.1_10 HMR0.1 VR0.1 10 3300 0.997431
HMR0.1_10 HMR0.1 VR0.1 10 3400 0.997345
HMR0.1_10 HMR0.1 VR0.1 10 3500 0.99728
HMR0.1_10 HMR0.1 VR0.1 10 3600 0.997192
HMR0.1_10 HMR0.1 VR0.1 10 3700 0.997248
HMR0.1_10 HMR0.1 VR0.1 10 3800 0.997209
HMR0.1_10 HMR0.1 VR0.1 10 3900 0.997144
HMR0.1_10 HMR0.1 VR0.1 10 4000 0.997064
HMR0.1_10 HMR0.1 VR0.1 10 4100 0.997019
HMR0.1_10 HMR0.1 VR0.1 10 4200 0.996998
HMR0.1_10 HMR0.1 VR0.1 10 4300 0.996935
HMR0.1_10 HMR0.1 VR0.1 10 4400 0.996932
HMR0.1_10 HMR0.1 VR0.1 10 4500 0.996875
HMR0.1_10 HMR0.1 VR0.1 10 4600 0.996873
HMR0.1_10 HMR0.1 VR0.1 10 4700 0.996946
HMR0.1_10 HMR0.1 VR0.1 10 4800 0.996953
HMR0.1_10 HMR0.1 VR0.1 10 4900 0.997001
HMR0.1_10 HMR0.1 VR0.1 10 5000 0.996935
HMR0.1_10 HMR0.1 VR0.1 10 5100 0.996803
HMR0.1_10 HMR0.1 VR0.1 10 5200 0.99678
HMR0.1_10 HMR0.1 VR0.1 10 5300 0.996671
HMR0.1_10 HMR0.1 VR0.1 10 5400 0.996475
HMR0.1_10 HMR0.1 VR0.1 10 5500 0.996394
HMR0.1_10 HMR0.1 VR0.1 10 5600 0.996358
HMR0.1_10 HMR0.1 VR0.1 10 5700 0.996175
HMR0.1_10 HMR0.1 VR0.1 10 5800 0.996263
HMR0.1_10 HMR0.1 VR0.1 10 5900 0.996241
HMR0.1_10 HMR0.1 VR0.1 10 6000 0.996115
HMR0.1_10 HMR0.1 VR0.1 10 6100 0.996018
HMR0.1_10 HMR0.1 VR0.1 10 6200 0.995844
HMR0.1_10 HMR0.1 VR0.1 10 6300 0.995788
HMR0.1_10 HMR0.1 VR0.1 10 6400 0.99583
HMR0.1_10 HMR0.1 VR0.1 10 6500 0.995745
HMR0.1_10 HMR0.1 VR0.1 10 6600 0.995866
HMR0.1_10 HMR0.1 VR0.1 10 6700 0.995913
HMR0.1_10 HMR0.1 VR0.1 10 6800 0.995894
HMR0.1_10 HMR0.1 VR0.1 10 6900 0.995906
HMR0.1_10 HMR0.1 VR0.1 10 7000 0.995952
HMR0.1_10 HMR0.1 VR0.1 10 7100 0.995882
HMR0.1_10 HMR0.1 VR0.1 10 7200 0.995802
HMR0.1_10 HMR0.1 VR0.1 10 7300 0.99586
HMR0.1_10 HMR0.1 VR0.1 10 7400 0.995908
HMR0.1_10 HMR0.1 VR0.1 10 7500 0.995803
HMR0.1_10 HMR0.1 VR0.1 10 7600 0.995803
HMR0.1_10 HMR0.1 VR0.1 10 7700 0.995714
HMR0.1_10 HMR0.1 VR0.1 10 7800 0.995787
HMR0.1_10 HMR0.1 VR0.1 10 7900 0.995796
HMR0.1_10 HMR0.1 VR0.1 10 8000 0.995787
HMR0.1_10 HMR0.1 VR0.1 10 8100 0.995686
HMR0.1_10 HMR0.1 VR0.1 10 8200 0.995754
HMR0.1_10 HMR0.1 VR0.1 10 8300 0.995627
HMR0.1_10 HMR0.1 VR0.1 10 8400 0.995784
HMR0.1_10 HMR0.1 VR0.1 10 8500 0.995715
HMR0.1_10 HMR0.1 VR0.1 10 8600 0.995601
HMR0.1_10 HMR0.1 VR0.1 10 8700 0.995594
